=== BTC vendor destinations (valued at live rate on tx day) ===
destinations: 141, total sent: 7.39541203 BTC = $624,220.92
price source: Binance BTCUSDT daily open (UTC), live rate at tx day; unpriced transfers: 0

rank address                                              amount              USD   txs  period
  44 bc1q0j7kynwqfexql6zwujv7wnzfgrhdvdxuexlzsw         0.05133682         5,120.38     1  2024-12-07 .. 2024-12-07
  45 bc1q8wlnqguwgp6klc0xdf09yv5hma4fjjnvqyrp5n         0.05235035         5,039.14     1  2025-02-24 .. 2025-02-24
  46 bc1q9y4r3np8eu5ljzg8sq5nkyunm05pegr6e0ln7n         0.05077081         5,020.83     1  2024-11-23 .. 2024-11-23
  47 bc1qnyafnxy9gr2nrery9t655eqt6tjpdvcu5ew0ex         0.04949497         5,004.42     1  2024-12-09 .. 2024-12-09
  48 12Wb77wD8zS7W4f6oGG7WyjMayxxh7Lqw4               0.05500000         4,973.53     3  2025-04-10 .. 2025-05-06
  49 bc1q5746j8nslqzmpp3f0njfcn5lm0q63yrqslzhwt         0.05251885         4,952.48     1  2024-12-28 .. 2024-12-28
  50 bc1qu8h0x8u30u6smfm232kvynd23l7jkegfxcea32         0.05594884         4,856.46     1  2025-03-08 .. 2025-03-08
  51 bc1qtjyyme0uzx0ndvpvlssvk340llmr96u37vmnlg         0.04925556         4,855.97     1  2024-12-05 .. 2024-12-05
  52 bc1qjhhn4g7frsrz9y9737rmxderv0sx9xm033v3z2         0.05673615         4,831.56     1  2025-04-02 .. 2025-04-02
  53 bc1q45xyljxtw9x5lsag645cg8gygqtq8vnmgxghlp         0.06289924         4,822.95     1  2024-11-10 .. 2024-11-10
  54 bc1qxn0hjcqsnx9k87hzs9y048vtwwr4t5fl0lwsck         0.05825952         4,813.12     1  2025-04-10 .. 2025-04-10
  55 bc1qla7ypxpv233rru9m4klrdxy8fasx23uxu4wn93         0.05033239         4,782.14     1  2025-04-29 .. 2025-04-29
  56 bc1qypzjs35kcuxjun4nw3ay8k3rw2kwnqgr02cf2d         0.06577008         4,758.12     1  2024-10-31 .. 2024-10-31
  57 bc1qt5ruxd5s04q86k8qwsewvcncg2e9av59dp7g2z         0.04977690         4,687.59     1  2025-05-01 .. 2025-05-01
  58 bc1q9gjmyteulqp3dsc04pmsmf5uu939alx0vq7nkn         0.07044208         4,655.09     1  2024-10-15 .. 2024-10-15
  59 bc1qq97l4lsglfqeq0hhucyklwrrh4lk3y7lu8v0pw         0.04889240         4,624.82     1  2025-01-02 .. 2025-01-02
  60 bc1qzyqg9zjfgjyk7fc2xce4sglvrrut83dlxktvx6         0.04523167         4,624.29     1  2025-01-07 .. 2025-01-07
  61 bc1qx9xatztsvcjlrt0jn58wsrfpzuuz6wekrcqtgx         0.04370416         4,532.41     1  2025-01-23 .. 2025-01-23
  62 bc1qkgeyparrcmquut4y6lwd3qyz0k7s03vjddmqzd         0.04777571         4,503.82     1  2025-03-03 .. 2025-03-03
  63 bc1qm8p3fx3wuxxdvkqsjzda67hstaa4dsrgyeeqqw         0.04291389         4,395.65     1  2025-02-01 .. 2025-02-01
  64 bc1qhu8529t626n46qpaxzygggw47q2pqnttteh3l8         0.06444233         4,383.48     1  2024-10-28 .. 2024-10-28
  65 bc1qy3q0tse5spug7peygu9p5a48y90ep27wvgycfp         0.04346696         4,355.56     1  2024-12-19 .. 2024-12-19
  66 bc1qkeyve4hjjnlhpf6wh5rgxk62e7el848lg27tzt         0.04527781         4,340.17     1  2025-05-04 .. 2025-05-04
  67 bc1qms8xfkhqtkrmehkj77dgffgcxrpvrdmdc7uf7n         0.04528433         4,331.17     1  2024-11-29 .. 2024-11-29
  68 bc1qul0ya7cjsgyjqgzkfn6ksugyfdw56hep3zmuvr         0.04094141         4,293.55     1  2025-01-25 .. 2025-01-25
  69 bc1q4plgucfksf27vh7xw6vcz2t722zap2aqvpr49r         0.06287302         4,265.94     1  2024-11-05 .. 2024-11-05
  70 bc1qe2qeu7pfykw3je8vk65hwx89a6520n484cl3m7         0.04182277         4,203.08     1  2025-01-16 .. 2025-01-16
  71 bc1q6urjw8w784wppquvdruqr30hz2wkx36qlnuz0g         0.04721390         4,185.42     1  2024-11-12 .. 2024-11-12
  72 bc1qsn3r6g307mw7cv66zfq82p0n5vkmjl2macdl7j         0.05425842         4,100.42     1  2024-11-07 .. 2024-11-07
  73 bc1q7fhwpgvlp8yvng6rj6kesdvgdlvhed5jau2yxv         0.05994840         4,099.15     1  2024-10-20 .. 2024-10-20
  74 bc1qg2qawsg5g9y787hzhcg6rws22hhjh95a4seg3f         0.05806479         4,062.34     1  2024-10-29 .. 2024-10-29
  75 bc1qvf4w0fvv8jt90ec7x2ypfht6wy4wqpv8d9gsx3         0.04818178         3,978.59     1  2025-03-17 .. 2025-03-17
  76 bc1qd5dhs5zwxysc2hp8ke5wa0v7ef6jd2ep8xh26c         0.04288448         3,884.82     1  2024-11-17 .. 2024-11-17
  77 bc1q9kg9nul8uk0ahxgrzx06u7yd3us5l2mjh44xem         0.03913161         3,846.83     1  2025-02-21 .. 2025-02-21
  78 bc1qa6cs8nzye54n7pg5vuvxd505h86p6aaspfz5nz         0.03793215         3,843.87     1  2025-01-29 .. 2025-01-29
  79 bc1qr9rvw4q3ty20889829hyewrl3mukquwysyt5nc         0.05638845         3,802.05     1  2024-10-23 .. 2024-10-23
  80 bc1qvum28rjyx3tss9n7nzdypwlcthe6hj7jfx5vaw         0.05984064         3,759.18     1  2024-10-07 .. 2024-10-07
  81 bc1qr34mky7nfcct8033lg655e2t46azg6awrn4w7g         0.03919596         3,756.56     1  2024-12-03 .. 2024-12-03
  82 bc1qk59l9jp8ur8pl72g46mrtthtmcgx6wc0qkmatj         0.03472589         3,636.60     1  2025-01-31 .. 2025-01-31
  83 bc1qh593rnlmq90fllhlt97j8cgaszrmrgypyqljg9         0.03825503         3,623.75     1  2025-01-11 .. 2025-01-11
  84 bc1qkeqxmq8jewnannawetwey0pkugp2hgen2hs70g         0.04147354         3,621.70     1  2024-11-15 .. 2024-11-15
  85 bc1q2vezlux6wt6exzaykjlgnfsdn4ud8s5nyu8kn8         0.03743131         3,615.60     1  2024-12-11 .. 2024-12-11
  86 bc1qyrua28uaq38p6lza2ry8tcz0wh2eclxgpx5369         0.03399658         3,608.18     1  2024-12-18 .. 2024-12-18
  87 bc1qhn6l7a66z6vq4e4g2xz8gzjsp76c48wvjpmpjj         0.05370693         3,580.57     1  2024-10-24 .. 2024-10-24
  88 bc1q6x7f9yqrdrxxwlj7cyrwaqcdx76m0ryw5eya4e         0.05689385         3,558.14     1  2024-10-12 .. 2024-10-12
  89 bc1qpr47qkdylsvh40j49luw3zus22wpqegquauvhl         0.04212051         3,533.48     1  2025-04-05 .. 2025-04-05
  90 bc1qg85d2z2l72ll7m467d32l4wpc84vtafxcnjcrs         0.04442942         3,484.60     1  2025-04-07 .. 2025-04-07
  91 bc1qxfxfyrqysgyetjcp3pu64c7kx5chnucghl5hr2         0.03247090         3,332.16     1  2025-01-27 .. 2025-01-27
  92 bc1qwyf76jejgnssfk8fp8slkdw96920y2aaz9gpls         0.03276412         3,187.18     1  2024-12-10 .. 2024-12-10
  93 bc1qzwykffx8llpnsmyq66qecymlju2x7z8ym5t6pr         0.03504196         3,166.92     1  2024-11-14 .. 2024-11-14
  94 bc1qdscs79demsmas3xawqnhuzhzvywu872ltm40wr         0.03614000         3,111.02     1  2025-03-24 .. 2025-03-24
  95 bc1qyef3n5jtnp2agygzvfxfzq5svmrr5zs70tmvpn         0.03200213         3,110.13     1  2024-12-02 .. 2024-12-02
