coin,date_utc,destination,amount,usd_value
BTC,2024-12-02,bc1qyef3n5jtnp2agygzvfxfzq5svmrr5zs70tmvpn,0.03200213,3110.13
BTC,2024-12-03,bc1qr34mky7nfcct8033lg655e2t46azg6awrn4w7g,0.03919596,3756.56
BTC,2024-12-05,bc1qtjyyme0uzx0ndvpvlssvk340llmr96u37vmnlg,0.04925556,4855.97
BTC,2024-12-05,bc1q68rhfp8xgpejsl8s7p84655hjr9u9vnkj8azym,0.02401477,2367.55
BTC,2024-12-07,bc1q0j7kynwqfexql6zwujv7wnzfgrhdvdxuexlzsw,0.05133682,5120.38
BTC,2024-12-09,bc1qnyafnxy9gr2nrery9t655eqt6tjpdvcu5ew0ex,0.04949497,5004.42
BTC,2024-12-10,bc1qwyf76jejgnssfk8fp8slkdw96920y2aaz9gpls,0.03276412,3187.18
BTC,2024-12-11,bc1q2vezlux6wt6exzaykjlgnfsdn4ud8s5nyu8kn8,0.03743131,3615.60
BTC,2024-12-13,bc1qkmpg3svey779zzx8k4udvf83j5gh3tp0pdgkhk,0.07625104,7625.43
BTC,2024-12-15,bc1qm4l9r8866dgpjlrhfqy5260xkwgudlynpneg4r,0.06385925,6476.61
BTC,2024-12-18,bc1qyrua28uaq38p6lza2ry8tcz0wh2eclxgpx5369,0.03399658,3608.18
BTC,2024-12-19,bc1qy3q0tse5spug7peygu9p5a48y90ep27wvgycfp,0.04346696,4355.56
BTC,2024-12-22,bc1qp2dsrjs02jchzxqlk9whxq4mm20ttv5j4dr4qy,0.07420285,7219.34
BTC,2024-12-23,bc1qlakhq6rdn88mk32vc0vtv4gp6dgv6n3hxz9f4x,0.03123985,2973.61
BTC,2024-12-26,bc1qqeec2t9gl6pkr0cjetr6zh0n396ct0j98tyltx,0.06389652,6353.21
BTC,2024-12-28,bc1q5746j8nslqzmpp3f0njfcn5lm0q63yrqslzhwt,0.05251885,4952.48
BTC,2024-12-29,bc1qamneul5a9kmnacdcheg2rphs7dfdl3muav02nu,0.02650785,2526.20
BTC,2024-12-31,bc1q9jk00fjhf8vc07rjex6j273ydzjt0h8pus7f98,0.05675488,5266.40
BTC,2025-01-02,bc1qq97l4lsglfqeq0hhucyklwrrh4lk3y7lu8v0pw,0.04889240,4624.82
BTC,2025-01-05,bc1qk4fhq78wc58g6wtkk4wg6tg0dvszya8grdjdkk,0.07892018,7751.58
BTC,2025-01-06,bc1qdmp9d9jcknq5kk7g4gmq6qys0puzghxl25fuh0,0.02901943,2854.46
BTC,2025-01-07,bc1qzyqg9zjfgjyk7fc2xce4sglvrrut83dlxktvx6,0.04523167,4624.29
BTC,2025-01-11,1ALghftdrNP4XKKrrUQemu9Ss99xMwqoZN,0.00500000,473.63
BTC,2025-01-11,bc1qh593rnlmq90fllhlt97j8cgaszrmrgypyqljg9,0.03825503,3623.75
BTC,2025-01-11,1NfQVes1hEPmSBvLYzZnU9u8wofuQ9AAtk,0.05800000,5494.11
BTC,2025-01-12,bc1qlvce2x0m0rwekfmzrdz9twuwd6t2ye7e03t4w3,0.03000258,2838.24
BTC,2025-01-14,bc1qpm7da6davdu8ht23xr4add8gn2sns9p38s7za6,0.07296854,6898.16
BTC,2025-01-16,bc1qe2qeu7pfykw3je8vk65hwx89a6520n484cl3m7,0.04182277,4203.08
BTC,2025-01-18,bc1q3kkt7zvdp2uszkx3xx95m7qhmagtq03sjz6ytd,0.07579002,7888.03
BTC,2025-01-19,bc1qmhzyuwyqxgj5v0epyf8ffe70p8l35wk2g0338w,0.02301074,2405.92
BTC,2025-01-22,bc1qzhd95ank3yng946yzc0vprda8xgtg6ksmwxwul,0.05810384,6167.36
BTC,2025-01-23,bc1qx9xatztsvcjlrt0jn58wsrfpzuuz6wekrcqtgx,0.04370416,4532.41
BTC,2025-01-25,bc1qul0ya7cjsgyjqgzkfn6ksugyfdw56hep3zmuvr,0.04094141,4293.55
BTC,2025-01-27,bc1qxfxfyrqysgyetjcp3pu64c7kx5chnucghl5hr2,0.03247090,3332.16
BTC,2025-01-28,bc1qpjpyldf6yr3079rse0e54wmstzeg4a05r5elw7,0.02780817,2838.74
BTC,2025-01-29,bc1qa6cs8nzye54n7pg5vuvxd505h86p6aaspfz5nz,0.03793215,3843.87
BTC,2025-01-31,1ALghftdrNP4XKKrrUQemu9Ss99xMwqoZN,0.00500000,523.61
BTC,2025-01-31,bc1qk59l9jp8ur8pl72g46mrtthtmcgx6wc0qkmatj,0.03472589,3636.60
BTC,2025-02-01,bc1qm8p3fx3wuxxdvkqsjzda67hstaa4dsrgyeeqqw,0.04291389,4395.65
BTC,2025-02-03,bc1qw66klnkwn53je6xty50xgphqg9cpkxpr0f2dht,0.03158153,3085.53
BTC,2025-02-05,bc1q0vccvxk2jnygsxsyrwuccqccm0lckc2dpyl05a,0.01815584,1774.97
BTC,2025-02-06,bc1qmfx07y9t4d3pvujdz6jjwxjzq905vkqmze8w6w,0.01357969,1311.97
BTC,2025-02-07,bc1qhmpr5p76fqc6ga3pcrlzwclvhnpn3575ck3nxv,0.00740871,715.34
BTC,2025-02-11,bc1qyg4463hz9hu0dt8htrgthqxnxmeqfmu4elnp2s,0.03388983,3301.91
BTC,2025-02-14,bc1qpd6jcuer84vu8ldna35z8vcerz48trems5f2m2,0.03311832,3199.50
BTC,2025-02-15,1ALghftdrNP4XKKrrUQemu9Ss99xMwqoZN,0.00121888,118.84
BTC,2025-02-15,bc1qar3g7v8rkex3j7a6u6decdgt8lvtpm3td452gd,0.00407995,397.80
BTC,2025-02-18,bc1qmfu960z2vqu9myjeed59nhl0qc4qld85glsw5j,0.03388217,3245.23
BTC,2025-02-19,bc1qhzaxl3htg7m9qpe3l0ddg98s4lqk5h0lddqafg,0.01235525,1182.05
BTC,2025-02-21,bc1q9kg9nul8uk0ahxgrzx06u7yd3us5l2mjh44xem,0.01362895,1339.79
BTC,2025-02-24,bc1q8wlnqguwgp6klc0xdf09yv5hma4fjjnvqyrp5n,0.01311188,1262.12
BTC,2025-02-26,bc1qjd573ad0a7zs685pj9q6qaume7x7eu2k9l9sl4,0.02959669,2624.65
BTC,2025-03-01,bc1qlyu73uuhfmkwup7y9j6ckfhj0xj7necryyzqfs,0.02395752,2020.82
BTC,2025-03-03,bc1qkgeyparrcmquut4y6lwd3qyz0k7s03vjddmqzd,0.01537900,1449.78
BTC,2025-03-04,bc1qhxg34g6smtfmkxmcth22n88g2qge7apry64xq2,0.01431748,1234.47
BTC,2025-03-06,bc1qql73rwl04hqqjy8w87plyvzpvunw4t7ex47jj6,0.02029567,1838.91
BTC,2025-03-08,bc1qu8h0x8u30u6smfm232kvynd23l7jkegfxcea32,0.01170564,1016.07
BTC,2025-03-11,bc1qn3puvpu5ax3ydwnvh2k7qf2wdgwlxzqjptfsa3,0.02600803,2044.12
BTC,2025-03-14,bc1q4hpte946zxmhrsxz7jx8eue49z4nzmrs47uuqd,0.01570022,1273.54
