address,total_in,total_in_usd,total_out,total_out_usd
1NmwjXXSyyETSp2bwFtA4g8iG65e3wcqht,0.00392161,453.06,0.00392161,460.55
1FqWGuRjM7J3Sv9T54B6ngLyDXoyBJeARC,0.00410445,465.93,0.00410445,455.96
1AnWnBXjurct9H91EYRgbpJe5QBuS12ufL,0.00415052,454.15,0.00415052,452.97
1BbmLPgrXB33WTk5XtEKBuaTkubUgRub7U,0.0039206,445.24,0.0039206,444.36
179zh38MKgcbh8GhrhWL7p472DiEZUhFgr,0.00404585,437.58,0.00404585,443.35
1MfKRgaJurbM3qmWCBU5H4CeYTvp8HDxvS,0.00417083,434.2,0.00417083,431.71
1FT737t7z42zpSzGXD1TBi5aev5ezAvyis,0.00399762,431.09,0.00399762,430.03
1LedhwJvvooVXumjqaUvpLMP6jg37qoZ5V,0.00386104,432.05,0.00386104,429.65
188LatfiSqpMpqexnLbww8FiZPEkbwdRjV,0.00362257,429.36,0.00362257,429.36
1PHg8KGRZrcUg5yL2QftkHjWoEZpNA7AM7,0.00396346,423.3,0.00396346,425.86
1QAmSM7PGcvDcy3nftg3owseEe47GvhjPr,0.00356436,411.02,0.00356436,417.63
1CC6YKG4ctPeq2vb1kSvPrZR6Jr7d5Ajbs,0.00391926,417.04,0.00391926,417.02
1Dn2g2twLbXXrnCTnNWvnqoKfxKE7WUbEY,0.00363078,408.73,0.00363078,414.41
1H9YQnMcMiptVb5PstZYeZSR86XPvfs9eD,0.003697,398.47,0.003697,411.88
1EzbDqYqX24iriVqDGTeG6KBAqSt6c7xxj,0.00379792,411.33,0.00379792,409.7
13K4YYEpjLqkrjkSdjoEx4MjtxD9VFYpRx,0.00352644,393.36,0.00352644,406.49
1AKTyH2LsmnBi67L6SqiRB4MxHuw3xdCoS,0.00353717,400.59,0.00353717,399.87
15VzhY4xRBer5Pxgs5rtkXka3SKUn2s9j3,0.00355782,398.36,0.00355782,397.88
1KKCp3UGFRkouvZdiyw9VqFbUcpxgxW7bg,0.00331847,392.17,0.00331847,392.99
1PVYoGveGpHEpnVspYrwFkBbLngBv7TN2i,0.00352359,393.55,0.00352359,390.16
1A9Ygqzzv3Ng8bWwWEx615ig2YZaWb8NWK,0.00346559,389.59,0.00346559,388.33
1LnvMydkJdXo7Ean8hGE7Y6pKHFHcUenvy,0.00341434,379.13,0.00341434,385.45
1FDSdsyoCcA6VJ1bk1VaAPPXUBjqBUYDxe,0.00336663,386.74,0.00336663,385.36
1Gubd9MvDFXa8oosHa6xe5TQKgnSXMPL6v,0.00325,385.94,0.00325,384.02
12kQWtu2gtMNHY6146N8t8tAPwxDca6JKd,0.00331676,388.59,0.00331676,383.82
1ETtDN3rTF6UryYpRU4dGmsP2VY3eBQ5zZ,0.00414955,481.86,0.00310974,380.11
13AoWUEs45kzGR5kZyVVSa69v26SDdLqgZ,0.00314927,373.77,0.00314927,378.33
1GTCsHF4YxQaQkF3ggCvEsQ8gzCxKSdDYa,0.00341894,368.4,0.00341894,372.92
1BzuSvDpqB8uobhmfTqGmv12wbbFYW98Wt,0.00322318,355.16,0.00322318,371.53
1KTrDCk9avV83UHTLnneJVqAuV5YGhVSg7,0.00310869,358.59,0.00310869,371.14
1MYZhsA73MV3DiaRqqNSJxzhNQhAjZAWrs,0.00357619,370.16,0.00357619,371.08
1noSczzg4f6NFsrPYob5P7ts8tnPkhzmj,0.00331447,365.75,0.00331447,369.82
1B5SqHnQp21usghT2NCVWTxXBKnhjKY4fp,0.0033776,366.59,0.0033776,369.0
1Du17QLaCCUswfPLhVk3zuZ1KNjYjJMc2J,0.00338,362.84,0.00338,362.84
1BH3bucD8jsHjhDMEvFyXaamChSQYTZpdj,0.00322347,347.99,0.00322347,356.41
1HG97S7mSkpdzhq4eGFzPaR7JVy8duUDZS,0.00325765,355.12,0.00325765,355.81
16iqySKafrhU3SQvbUcvubK9NJb2Pxm2Jy,0.00321891,348.44,0.00321891,354.69
17v16GUynT7ZjNq6LaguLRxw9TsitLKctp,0.00305577,342.44,0.00305577,350.0
1L6fZcdVshDK38NydDUQ5U2ExEgMMe9GGj,0.00308442,360.75,0.00308442,349.92
16HfG8mekp1FjwPnLLA9g4sBWqfwc1XQcw,0.00308931,348.65,0.00308931,348.96
1Fw8vW3zWg7g5dKu9Wp9e31SfrHSp5iQbj,0.00325863,345.09,0.00325863,345.87
1NY9ffmjj6RkhkkDMFR7n9vdCJcnC3k9gs,0.00316424,344.09,0.00316424,343.47
17Emipi3FNNVriQVyyMr5X4m6ry22eKZCM,0.0032746,338.95,0.0032746,339.78
1Cq84KmqZZkSUBov6ojwG8nEjEi7eR5SQG,0.00330535,375.81,0.00301728,338.73
1PBetUp2k6CXXFaxxyzgkEtsY9dzW9SSgr,0.00318811,326.45,0.00318811,338.2
1QGs8APgqkcK2AEccDReTuffaRniS5WZEs,0.00317922,336.9,0.00317922,336.9
1Mv3Q4VE3jjmY8czo8osM5zjcQdNXp9Qns,0.00312258,332.67,0.00312258,331.49
1Dr7it5YqhjEUFHVELTdh2pwpC26th4pR4,0.00287798,328.69,0.00287798,331.13
1EUAjPQvV8GVMEp9KDySBeD3qPGdWmf3uu,0.00300484,330.39,0.00300484,329.79
1Cg7HXnDmdU83udJBqDKh19onbxviBFZ8G,0.00290217,326.48,0.00290217,327.03
