address,total_in,total_in_usd,total_out,total_out_usd
1AYxfzhJ4htsSfsPbv3AmKmH6fukvXg5C6,1.92366136,38230.45,1.90927777,37954.86
1DP1tDLnMrovDoAsniBs2aBhqdJxC2zAGf,1.32601074,30987.77,1.31606897,30670.0
1NeLBRLhfoTXJGynpLqgZwotSZwGzHEgp7,0.59031945,23597.86,0.59031945,23693.46
1AjYzYagwWzHdmTQPWruX1duu9oycgfm7h,0.48417347,11038.73,0.48417347,11024.99
1NXvxc8N5ir5s32U5geENskNUcG4uxNme9,0.33223787,10052.0,0.33223787,10058.24
144kzgvKdGhfypZzkHgzrzpYU9V6kZwbAd,0.47953815,9852.14,0.47465824,9752.13
1F7FSNkJTrzdTmZpCQRKwnUpbacnpgTr3u,0.46850157,9670.02,0.4655407,9571.11
16aMW854CAMDec1a4RpTDZJDcGoNAy6YAV,0.47573041,9111.97,0.47573041,9132.04
17QBQXT6cgy1pq8bhSeYowAo47pDvr7p1b,0.28982418,7620.65,0.28982418,7657.41
1Q9QEeoEi3w31geAhTwewbmsk1UXJwE81x,0.30500624,5127.23,0.30500624,5124.65
1JsmJp917fSyGkkcoo74DNJEcbLtRB96di,0.2486523,4794.96,0.2486523,4785.23
12qRBRzbG4jgnTjBMwEYsztUBAGfD3G1Ko,0.11184854,4583.0,0.11184854,4650.43
18ZCdJeLwscBrBFUKwhfXFQuhNWiEpCEcP,0.20147111,4444.21,0.20131126,4432.88
16UXL8xuvt47hyUypKsc6FcpU99A4Cndtq,0.13577908,4404.86,0.13577908,4390.57
1PfQo4TZFMzgyDJpEXNt2fAVi5sscm9qR1,0.09791494,4103.75,0.09791494,4119.86
1DqPdpD5bqGNod4esYPWb64uFbMJR6Kexs,0.21400399,3994.75,0.21400399,4030.33
16fa6XervRSBqCcxZvSi16Pf8iRksdhhTA,0.22056284,3721.1,0.22056284,3725.93
16PhSc8Cjy8kncMCRTpwEHfNwiZqvt3z59,0.19909559,3750.88,0.1957065,3670.39
18efodEDzySBgmZCAnHt7b8bBFGcFDhFvE,0.17158696,3782.7,0.16531286,3665.55
