address,total_in,total_in_usd,total_out,total_out_usd
16bCqo7TJmWbjN4SL5akA4t9ikFv7713mD,0.71441552,19970.16,0.71441552,20001.63
1PFxhd2okp2sGWADGftwTpFgixtahSybox,0.57018806,16002.26,0.57018806,16124.79
1ErDyMrDTyxC8vyywdTeey9xaRGPmqFGZR,0.43459901,12860.68,0.43459901,12978.01
135XKjWtKiQSd9RMZhaU67QxWhoj3HXCZk,0.36415378,11357.34,0.36415378,11360.15
14ta4eJWryTphCXczPfQJwvanbKWzkXFxj,0.1964937,11009.92,0.1964937,11010.51
17nMm2qrvq7sWMPuzTa8wuRmkCR3LTL6WH,0.17227893,10882.97,0.17227893,10893.81
12wCkvxgKcCozuEoUsU2sSqzGR7WaDGCsK,0.17222547,10397.01,0.17222547,10486.41
15YyjLp7JGvhuatKZd4n8jupogG6YAckx1,0.16413452,10327.77,0.16413452,10350.68
1A6ZEyckrJHaNguhrmDTFDobyTToCdS7D7,0.14669756,9783.79,0.14669756,9813.67
1JrrogqLyw1kgbbwJtGM9qqJsapbeda3wf,0.28685687,9583.84,0.28685687,9618.37
1F7ech8UrE1JVKqtrYtY9MgZwrYyrvfN19,0.2735,8122.02,0.2735,8148.17
1DwwVQN5qytMTZzDG7UBeP59LxrUoDJ7hG,0.1179467,7875.04,0.1179467,7893.66
17ZV8cmKH2WgWf3aU5L7AnJDReVPp1FHbG,0.12635471,7965.57,0.12635471,7878.49
1D7s9c49WDRW7WJZBpRN6wk2R3hm6sCbWd,0.3160206,7080.99,0.3160206,6989.22
1CbHS4XDqNUKiXsiJyspNnQtYjJZREzgLF,0.19990621,6992.86,0.19990621,6979.71
1G1NCiHW13RWjpBkEHs51FgovmkD4aNbon,0.11786815,6880.03,0.11786815,6860.49
1DoXKa63cUrpN7ecgozx5gWad9edMciB8V,0.18377064,6765.72,0.18377064,6762.36
1As9qE4gAjXLpvzah9cSPJ71W7gJ13qVSp,0.22955317,6599.83,0.22955317,6612.3
1FR6oVsEcvRZakmA2cnxHYQvYQfyACXqMV,0.23582134,6522.4,0.23582134,6522.09
1LnAmQJwLPU1AYbJqu53avRgFy7ZeU2986,0.27182637,6440.12,0.27182637,6443.25
1M8yzu1dGT64zV6VVjf46h8gnA6X7nBToB,0.22813959,6402.89,0.22813959,6416.74
1JqugTaSsyErr8CM4h8B9Q1YGgMVmK7DJf,0.13953253,6323.52,0.13953253,6351.98
1KDDbmi4H46QwCL6XC3iCUfULDh7q8bKp3,0.26590546,6176.0,0.26590546,6243.05
13wGvdCpwNfGfhEBhW2eNm8ZQzBXRPzuJz,0.08266637,5607.24,0.08266637,5601.82
15rV3tYSEJPD7npBbsQ8TVBviYbs1e4Af3,0.11275759,5014.13,0.11275759,5004.77
17Nv3nBZu27zVy4R3bmx2cgwXA5CRdi8mP,0.14560169,4928.02,0.14560169,4952.07
1Bm3rXT1PXKkPmKftU6xJYzQvp7wV4iyax,0.15790951,4865.31,0.15790951,4891.84
1Jz6vJiWaz8LtvTjiVuMGJK87ADNC7m2MZ,0.12087446,4765.45,0.12087446,4711.69
191kKQVf43bsMcpCZUpMNa9ENGWPx5P1z2,0.10431797,4535.14,0.10774471,4590.22
1PFxEtrDoUzEe6J6LWc5wG5sC9AcUSQQiz,0.07292337,4534.92,0.07292337,4544.34
14DQgTneUbCvymrLQbDj9ChJP12XMztRrk,0.15684374,4500.47,0.15684374,4506.29
162Je6LGP8RpeqGE28tgCqKWtGvmwP7BZw,0.14880289,4483.64,0.14880289,4477.46
1JTjNKriKv2wgU3abdK5FmLMArQD6d7wBB,0.11916131,4346.26,0.11916131,4384.77
17rx7cLTtgrCWNxKjTZRLMDpKyfP1uM66E,0.08634846,4344.1,0.08634846,4370.56
15KLL1iub5rx1ackWaJbtmWhB22njMfpaZ,0.19073,4197.04,0.19073,4231.5
1JwLGF3BLA77pkqJTXo4VQFXpFN23GAzUf,0.16774183,4272.61,0.16774183,4230.95
1ACxSYQx6gycnNqFQ8XXPZXjX35qSwS5k3,0.14878531,4204.51,0.14977828,4177.88
1Pmuck3hr7qC2CzGHYzM3rTCj7fJg2PFKi,0.18459102,4071.11,0.18459102,4074.64
1A1CgdJM35sHpz8U3b4Aiqtj9b2SwhUbyK,0.12695332,3965.47,0.12695332,4030.99
14sPRrycmfTmxqXYf7DQ8w6mxMxA6fMXXc,0.16226424,3953.03,0.16226424,4007.71
1HoRBkq16W1xHw7PJZpzVJYg2otyyHiRn1,0.14340912,3861.96,0.14340912,3891.19
1Mj9s4wWUaPtzx4tcFivyZDDCdmQDsuk1o,0.12815091,3872.5,0.12815091,3868.95
1FBg9b9FEyLsfKR7XjnJCYZ1FjrSdT9bjU,0.12648722,3762.04,0.12648722,3761.44
