date,txid,direction,counterparty,amount_btc,amount_usd,fee_btc,fee_usd
2022-02-01,5d3889f66a7dd070788f992253637bb5637e67752894e407bc9834fd8e69be22,in,bc1qrj25kjavej7agv75kf0sw0kdszm9wccvhls3j0,0.00189565,72.92,0.0,0.0
2022-02-01,d9d98c256e018bfabbdb43488597995e0b03daeaffdc6d11237dece83497b7c3,in,3KBN2G215dK17CAExddpL74aBy1Y8NaFzK,0.00020679,7.95,0.0,0.0
2022-02-02,5552eb698d4326eb6aed1c43c12afb86f9d26b5b23c5e89ad9c8eeb0eade71b5,out,124m6GJNsYv8Kji8hXssqrdFnJFLLxBveD,0.00360747,139.59,2.736e-05,1.06
2022-02-02,58dca2b4bea86554ec900abdb994ef19dee7c233b8da53496050cd9cf1110aa5,in,34d4LobHZy9AU9nCgXD1VkD677i81xZTq2;37CmUC4UCrmkWuXUhfVC4MHwu6xbuuTRub;3FfL3tGrKeszzqSg7igD6kow93YTbE6q9f;3FjqWz1eYjjPmeSspDpp4HC5m1Wb1ZWsBj;3G3aTcJovXGKF3zhwcNvXFtKMW4X1wM9uN;3HmANrHgd9yWXXqcTrAKaAEe6HrK69s9EV,0.00259762,100.51,0.0,0.0
2022-02-02,5d727f72fe251d3a957f96d618748b1f028f1692b9370289f98b2527c4fa7509,out,124m6GJNsYv8Kji8hXssqrdFnJFLLxBveD,0.00255609,98.91,9.82e-06,0.38
2022-02-02,776f3e1b3d5f940c26000959a800c948b065d7fdb62526c77ca567c41ae6d582,in,bc1qljpa7f0xmxumzu5wcgmleqg7keuq2jkv0g92k3,0.00103721,40.13,0.0,0.0
2022-02-02,8496d8dc65e99b18303d0eb5684b1b88a6a71151130c5f3b2ebf7f26a5bd97d9,in,bc1qtftqg550yqyf66dqdjjshv7rreqp3zx0vhkljl,5.155e-05,1.99,0.0,0.0
2022-02-02,c7348d146401d121e73ff36fc4af4694ba00553761979111468fbaa8c19bf8ac,in,bc1q8rj3pgz9nwqh5q2qjfrglfxwshhfv9h63v0dhs,0.00061871,23.94,0.0,0.0
2022-02-03,2c77dfdaa1c090df7b31ce1b93592634e67c35efb17ca6898a28e108777b72ce,in,32MYpRcMwd4Fhy7EDgk18Dpzxk9eFrexDc;bc1qhlcqz39jc3ljdq2evfpvt4wh9tqt4dauk9jl20;bc1qxy9w4remwy4x69nm7wds6qsd9kajuyf8sj5aa3,0.00480069,177.13,0.0,0.0
2022-02-03,7ab7a6d1b47350f150dde2d125ed99e7791d1db884b063d337b6198a457fa887,in,33Tpri6sZV7yRvhA2zqcSTqfVAjXp1iCnW;397iNapGGEMgfSoWVxxfT7vBU4VBnHMfu6;3CGqsaZ5Qen5C1m1i15xtwUeSokEY6U5H9;3JGknqvcduo74FFEdSmoqtxhsU78bVkdSt;3JpghG4hxCCVxygH1uC9HkYL5D369bte5k;3Lx3DKKLAZEiMFndaeMUjwfd2GpqzpDxtA;3MXjYLaPZmBgdrAStEuuihXUuLUBXH7Udy;3McRuQyGAXtQ9qnpTcNHEEGE2Y3FZi1r4j;3MzEmd8rmpq2jRzMmy76rfnrn3svcnLwny;3PPrUsZYNQfCVoqc4TK1iWWNc9j7dRAi4k,0.00272808,100.66,0.0,0.0
2022-02-03,8a2d226520ab399af1f8222f66295ff3abaf7ad59988865682724923eb38c009,out,124m6GJNsYv8Kji8hXssqrdFnJFLLxBveD,0.00479877,177.06,1.92e-06,0.07
2022-02-04,09d6ef3b300ded53333a3c57682b95df8fda652db0ad244971f472afb7da49d2,in,3NvjhafgA3uVzPeuaP5cbQCnND2SeB4qPE,0.00025117,9.37,0.0,0.0
2022-02-04,2751d9e3697808861c858835551f2346b59698bd6a2674ed7a9731ba1cc36be1,out,124m6GJNsYv8Kji8hXssqrdFnJFLLxBveD,0.0079696,297.36,7.89e-05,2.94
2022-02-04,69d0dd65d39f2e0e7a2d059b3e9001dcc5d8578cdedbe386cde4d990f3c6098e,in,3JrrQXu3F7NXuJypB4zogRhBKpgjoyBcJs,0.002771,103.39,0.0,0.0
2022-02-04,7363d599efed82558cc6bafadad16a57e6440dbdb92a1c99c26c95a910db4228,in,bc1q3zctm0zkz985jplh889s2t75zp2pq0avxs3h7n,0.00131173,48.94,0.0,0.0
2022-02-04,eea57414147fa516c3cdd6fe5342d01f07661ac36c8fea57722e973aa659d58c,in,bc1qmagx9ez2ah488eer4uxwd4hdn92lx6cua0wcyt,0.00098652,36.81,0.0,0.0
2022-02-05,52da2f6e0fabc81c2ff93f149dffffa1621b76141b5aeaaea24850b400835ca7,out,124m6GJNsYv8Kji8hXssqrdFnJFLLxBveD,0.00583198,242.45,2.455e-05,1.02
2022-02-05,7eff4e7252e71268a2890b23484c14b358cfa121baacd10ff845dec982b43ed3,in,bc1qxejarvfvelngln2m6y4r66wzfpl3a66pcjjv3c,0.00190193,79.07,0.0,0.0
2022-02-05,a523eeee1c380b05d67328391e984db933ad4be7eb4833ddf6e0000e71fa3a0b,in,bc1qmaly5qzj63jr3q95k9eue0dencjetcxsexhdvf,0.00292867,121.75,0.0,0.0
2022-02-05,a5ea70e26dc2554e6455115f2ddb67c7bba5cfb13fe0ff8ca340259d6eb82625,in,bc1qv52xz0qpc842s43m3r5d33mv7npr8gg72j24es,0.00102593,42.65,0.0,0.0
2022-02-06,7d1975adfe810fe4aa90d293dc260e7ba1b175acc0ce74643843d56ee200f825,in,bc1q750etjy8k8433jypcqj7zujqv7dmu30sx6pxzz,0.00176911,73.21,0.0,0.0
2022-02-06,b2d09ef25f4db5ba477d79d94ed3acf573d62a39f51c4f07d4fb863b0b0a7fc4,in,bc1qfu52dqv3hzr4x4pp4l696lnda3wcxkkdr927qu,0.00046443,19.22,0.0,0.0
2022-02-06,bccac51e93335aa46d578434061a0f5e29498d7e4e1525347bbfd099b0cd95eb,in,bc1qr3cqys9dczw5a0dfyt907ag8ukd5gkmuzsd5qg,0.00059032,24.43,0.0,0.0
2022-02-06,ce153dc345e0ee95137b04fe6aec9247c6e020ca7c583a8d9992e1e298ba31f9,in,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,0.0009721,40.23,0.0,0.0
2022-02-06,dad8e0ed1be13bc4cfde16b668532b344bd50b9848bd1ab4672f6e97a5a8b048,in,bc1qz8zu2enftqjkhkdy9qq3t3705r5hwcm8dru7d8,0.0003028,12.53,0.0,0.0
2022-02-07,b2fd241e29cf12c07ea00e494e7fb5d8f775d2d717370d44aba56b8e02a07d04,out,124m6GJNsYv8Kji8hXssqrdFnJFLLxBveD;1EQPS3o9wwA1TRaKastYTXKQwUEMb1VbD9,0.01201,508.99,9.209e-05,3.9
2022-02-07,ba137b0e9152334354f36a2d4a34997597f77a1a292e20b85d3b126474d3b8ac,in,bc1qkg5envseufqfxfmv8xe8klczuanev9du69gf95,0.00131208,55.61,0.0,0.0
2022-02-07,df16b0a920025057e476c8048a4da0db9c359d8364a244be880c22f5dc552d54,in,39GwNzDXvyEopg1pRQ9yqdFvQ33skiKvZK,0.002896,122.73,0.0,0.0
2022-02-07,e06024e788ef63d4b040be1dcb440ebe876c7847d317314cee0e5c67a2347247,in,bc1qdgsn5qvsmruyw2u9wartjqtmfyufn8hqkuehlm,0.00669125,283.58,0.0,0.0
2022-02-08,2ce49a1a7056c092d709797446f5f5db59ac8a184e322f9a7fb183f51a9eefe7,in,bc1qmva87egteu8t2ys4eahmgsdfdsw80arlhu0zf5,0.00226864,99.46,0.0,0.0
2022-02-08,31f39dbc2f8eadfb58fbd03fb57b2e77afbba92ece0ff75ee57a52ed47894e47,in,bc1q2hk2avr2jy2pgan2auvpjdnyurk2w7g802ekfd,0.00032524,14.26,0.0,0.0
2022-02-08,4e8c6eb9235d2d84307877a025c3e72857b9b952c0917e4c238d175bd8010130,in,34ZEFCh2v9EY2ukhDCqGFDzk6tU6j8fXoh;3Db9i6z5U6KNJLWUykrRPPGbpbT97yHipS;3GcDgqCaR7H2sf3kNchqryVnEHEd6xFzu5;3GvnhK5uB1LAuS9KCxMgJTK2e3zuMonVvH;3JV5kd9ZexutcCZyW3EDbaakhqSRfWM2uy;3LsQjSp4YuW5pkhu3HMQcYhvELx1NvGzsC,0.00027517,12.06,0.0,0.0
2022-02-08,575cbfd02ccbe4737226999e8eb97b4b7b57598b295e9ae4b236e1de55a407c1,in,38XsUEHd3tMqwhc6uT8AvPYtsCVD92KJJJ,0.00082497,36.17,0.0,0.0
2022-02-08,8830e6ae8bcfdea26fcf987fc7d9ad59df803eedc61202553a097c06b25701c9,in,321rWjD7yTMDRZTKhYnN1RmvvgXZNPf61X;33kZLxeyhsHJMMdXoakSrx82Cs6H6frs22;3A3ubhrMZxjj68UDY5LVrAMEFMAkjuxJQP;3BM9T1ShCdF58XyLP7owzHg8ut9E8FX4Yh;3C6b9XuqGvoKXWkoGZv3NTD3f7kyKaWPei;3CtG4tTC5vFB5vruyXkNZj1JMvDsVb2VKp;3EGHbmZ6dNHUE55KAFzyzjZGFXBeUHa8jc;3FV495GqUJf3bWjhxkvmBbS7nRUEDJHWWg;3HFybVNBMAGnfUGUdPazyw4mw8wN4mr3SE;3JpRWJr9hmPwvUrYNZ6muzuSmvtcQsSL3E;3NVWZrQBSLe4U7ARw7dqzZNfAxJGoAS6Jh,0.00242812,106.45,0.0,0.0
2022-02-08,a91ac91c449f5db92625a382c5a2493f6993c52861a2986f6d3cabb53a14c9f7,in,3KmJUXGFJ5KVm7qzndvWPy2A2stk3feAAM,0.00012,5.26,0.0,0.0
2022-02-08,aa22984346fceedd2d1e5a5c17000a981d1e3ab11aa6ab686162d9183409373b,in,3QxumZxdc8TJ58MoetN5ybcTqVwjmsW1ub,0.0002857,12.53,0.0,0.0
2022-02-08,b0f465fae1715a4be55328d97e777d119803d27af272a8a745f482c163235e19,out,124m6GJNsYv8Kji8hXssqrdFnJFLLxBveD,0.00649673,284.82,7.84e-05,3.44
2022-02-08,ba3842c44bfa2181c9291e9c275be1baf54f1244b5e735c98b2c8e3a75fee0ae,in,bc1qsxmv0ggxt0umwtrt4vfj7re0qwytueknh7kdvw,0.00074825,32.8,0.0,0.0
2022-02-08,bb0d6c53d6779128582e3f70dc2a5989537baea5d9be7dc38e51b1329350a8a2,in,bc1qpym9cdh5ctpvv2jppca9ve79fxtv7d5ewaryun,0.00092147,40.4,0.0,0.0
2022-02-08,c442c25fc7e1578bb17136fd074efef97a50f69818a86bd94cf7fed8daae419c,in,bc1qd3x6qcvppc8lut5c8ppesdxywauju5zt2vuztc,0.00022759,9.98,0.0,0.0
2022-02-08,d14b98bb47d8a663a398b5c393073786dd1a8bb644c49b01d147fc30fe9faa51,in,bc1qxhqxldrk37n875eprttvyfllvmsl2vsrgj65vn,0.00067926,29.78,0.0,0.0
2022-02-09,0e12cdb903413747e005759d80ef347df971663a5aa21b8c294a888eaeb3092e,in,bc1q7zrhvrswkgn020ykk9n3ra3sq8vwwue3grfu4f,0.00078228,34.45,0.0,0.0
2022-02-09,19c11d935923a6040e2b71d31aa4f4810ddd4485a110c890cabdec2d0e582145,in,1BmgVAYyidDLi9Q9UpZTQULYZGJdpGBBow;1DUQ1kWPcKDWTYAduuYDXfF2r537Umm6iC,0.0004534,19.97,0.0,0.0
2022-02-09,1b19025af4d7c990330d27a5aaa7ad22f0417c95a634b233361abb98de761e3c,out,124m6GJNsYv8Kji8hXssqrdFnJFLLxBveD;bc1q5prqgt4xrqhx6ettrfpcuywg3dymrzup8dfq0m,0.01428686,629.24,0.0001155,5.09
2022-02-09,2958401c0a342a52e8491efffb810e11fc2adb98944d81f23e9e4a9aa214fab9,out,124m6GJNsYv8Kji8hXssqrdFnJFLLxBveD,0.00872327,384.2,0.0001065,4.69
2022-02-09,2d2465e7f3fc66764b3f485dffde0398af5e5623b14de159edb67ecde0ae1126,in,bc1q8jcmzxqca4aatpsefzjrq56cjlvmatynv6k6ct,0.00045352,19.97,0.0,0.0
2022-02-09,319cef329d38ace479ca09d096f1722721add3f06a8caf91d83187c9f8ed1e13,in,bc1qp2h92dkz00zrdcpeja0a8lsunm6e4x339hp48z,0.00057047,25.13,0.0,0.0
2022-02-09,465ebcd712a2e58dc4a1ebef1ee72ddb085d2aa83fcce8e30ab135904f01407e,in,1DXPRWxGySJxPMY4RyAHMPSRZZanZxM1YZ,0.00022979,10.12,0.0,0.0
2022-02-09,469e0e2181ab7fd4c2ba9155c62ee55b1dc589c49764ae76e5d4b75eb4c5645e,in,1DXPRWxGySJxPMY4RyAHMPSRZZanZxM1YZ,0.00112179,49.41,0.0,0.0
2022-02-09,4a8a1d54247814b103e9f304f946a3c97fc67a56748ec45545fd7361a253fe37,in,3MCughWUEd3MdjkLmX3XEFPovGYhUTksEJ,0.0005,22.02,0.0,0.0
2022-02-09,4ea03f9f53f0f27cf41b35833d839883f542b94b384522ea202216b78aa65e2d,in,bc1qmyjrqu7g4dcksnf8xfx5gcqw8e37vrjahvw23z,0.00022423,9.88,0.0,0.0
2022-02-09,51d9b4a95a5a6313d910dcd4d6659d09ecfa1082bd1a04a2ff9bb16bb01d3f5a,in,bc1qttegeheamuf6lattx4425skwz2re26zlcelwca,0.00080672,35.53,0.0,0.0
