address,total_in,total_in_usd,total_out,total_out_usd
1TZ6fXwypwoMAPYbzLGgaUztNvVwnM5ev,0.01089739,1042.63,0.01089739,1020.82
1AHbZZP7uXDCfYHi1cpbD4EQsg64b5WdRD,0.01218799,1009.83,0.01218799,1009.83
16Zupbmmp4jDejFtBQ41ztP6srHy9ePUx5,0.01094432,1010.09,0.01094432,1006.46
156ZKLLBp4v8jEum57B3QG23DdaV7iYn6Y,0.01020722,961.1,0.01020722,975.54
1HUPrYEqhcY8UYnoU6yUjbfatNcrVJ76bo,0.01050265,983.76,0.01050265,974.51
17VpZziCNuFgvmyh2CBGZRiHoJd72JqcqY,0.01138752,964.5,0.01138752,968.29
12uWqqr312Z7uCof3FKkybpBPJ9Hu9cCYz,0.00991567,950.42,0.00991567,960.28
13WyrmhkmaEXtjESTrzHr3nodhwrVsfsBp,0.010437,948.4,0.010437,946.78
1CsaXZFp9kZrLUVcfiSsrm4SWxtHqwSTtW,0.01016682,934.93,0.01016682,943.97
1JL2iqTv65Tra1atYfyonh7Nj5Uk1DiADa,0.00983309,942.04,0.00983309,942.41
17SJiNsYup7EijEsBh95yKpbizP6A5wHxW,0.01120329,922.88,0.01120329,914.59
1Q2KBKRuRAkEwHfd6aVKK2VkmNAeJseBdn,0.00948815,911.31,0.00948815,911.47
19fTgkeEYDeq3wb9pQmmjRBiM8fz6GmEjq,0.01029354,889.62,0.01029354,890.75
158WK2qcngrjvwBVrzaPp65tKtJSYVpbFN,0.00932187,880.07,0.00932187,874.87
17oBMK5wCnrhX8W4JnRjf2NLoKeXVRBc6i,0.01240861,861.14,0.01240861,866.42
1MiNfP8ADAbDVUeTK58PDC2CenrJmPGJnA,0.00860603,837.27,0.00860603,852.74
1DNNTMnkFhGkbsqRF9wjngwUS4RgkQc6zp,0.01044619,827.5,0.01044619,830.43
17VP5WnLx2xgZjFVRKxFryjQj1qw6dhzZy,0.01279004,821.07,0.01279004,828.66
1HGHtTVbznkKAps2BLvzhar9iCtFVCqC9o,0.00883415,828.75,0.00883415,828.39
1AAksGVmueMst3dVFxW7MtJDJnoqjjFPgd,0.01214608,824.85,0.01214608,827.31
1PuN3JHCijH1ynQB1t4qi41q7pnYMS8X8i,0.01227173,765.74,0.01227173,787.83
1LuRHsNnxQBWJuam5s1BhXKgyyg8sGHALm,0.0077,766.64,0.0077,772.7
19UbnjcsQ6Mjb6SvmgAsdJiMY4GQCvnjR1,0.0077979,766.59,0.0077979,769.04
1HvzMHRT4dYA4SsFtqjdYyWQt1763tbSzf,0.00773209,775.08,0.00773209,767.9
12ZyJYSFkpj97dQVmFvoQXPGvaJVRNC34q,0.00920638,763.84,0.00920638,761.57
1MAEhHAMjGgfdd9aiFeLNoGCLUuYodnMBk,0.00839564,769.13,0.00839564,760.93
1Aoo3bZ9tTA89WeNt8ScM88h2Qb4qHcty6,0.01045802,748.94,0.01045802,754.24
1Cgna8MhvWpHu2NnZjSTPMh2DnA62fZUF2,0.00742867,734.34,0.00742867,737.6
