date,txid,direction,counterparty,amount_btc,amount_usd,fee_btc,fee_usd
2023-01-17,009cf1cb8788289e9bafe0294b956f63047ce8d587bb112fad069b107fcaeedf,in,bc1qwfgdjyy95aay2686fn74h6a4nu9eev6np7q4fn204dkj3274frlqrskvx0,0.00451892,95.74,0.0,0.0
2023-01-17,13b0febdbc680510e27e82b0472523f31f46e8116f1f73623c074c2a95d98ae6,in,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,0.00092633,19.62,0.0,0.0
2023-01-17,1ee01f716a14a7a9edbf5b01b5a8576dbb35b4930cca9a80f01169b67eb908d8,in,bc1qnkt3z37l869cec45ehkatcqsv45zm9sm0j4d8k,0.00094859,20.1,0.0,0.0
2023-01-17,20ba1e001a299d638af26ee55a70c6e09119cf9e86eaa193965eb43c78cedd4c,in,19rkairjvX9Hxsj7vUHEx5zZ5Sfe3nBoap,0.0089404,189.41,0.0,0.0
2023-01-17,271f24c86a94c758d527330bce3b12fc960d77735201d1d91f5ad19bfdd6dc20,in,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,0.00148719,31.51,0.0,0.0
2023-01-17,28a1ff4c23c2a44563a3f7dd6dee4fc136e8e7ecb7306be225dc741008f7285c,in,bc1qh8k65mled5elg7lmmk305wkn4du4wwkhs7llc3;bc1qkhmsuvx87vvggtw2dxla49rmhpldaenr53aq6g;bc1qu2nux59vts6ps6rhmv058gevyjk6d6s3nvawtz;bc1qudmsuqwawrmea0gz7elj3rk043l70faqjkr7tu,0.001,21.19,0.0,0.0
2023-01-17,29b64816ee30e3aba5ea5e2fabd85fe9d7047a1701c960434e6a4ce30e1cb188,in,bc1q7l5fmwc7450du64w3gkv9f9cm8wqg8u9a5spew,0.00102026,21.61,0.0,0.0
2023-01-17,2f30597e0a800e23b8cf42dfb3a92d5415ac3b1c009e90559a42c0dd2e9476e9,in,1GppZaJuz24AshmnTnmF7qRWzYpiMJmx7Z,0.00165433,35.05,0.0,0.0
2023-01-17,302c59124c9738c783ab31022a9be8f19961f3fd0ad7b820af4399c8a148e557,in,bc1qga79hk9hy9sukng3tssj4e4jpwvr4kn4th8ts3;bc1qnq7d4u3ds6hae6cvv7faaqkfqgd9m3n4tgatxz,0.00056256,11.92,0.0,0.0
2023-01-17,39d6a29c6f5e6a64b85614d5b696fd63f6904f0aca1340ce56f0b96207b04a98,in,34FpCMqFRZtvJa3jxqgNg9BXXTxaPeoJcA;34dku8iy8SWpdtUo1SWp4vry33ePcPu7UA;39fRqNVZsRpr9WM3LKU2fYPhM8ZgoXYzuM;3BE9YWLY7pmjf9X8EmLUtN3PUqkLbmZfz9;3DpaNGWzrceDhhB6jHud52gpneqeL8yGpZ;3F9WbwE66i9n9BLiPVxSLj9yn4i2Xq7psy;3FD86ya5DGHLQEUcW6AGEYFeg5daRA56Kn;3G5bBUsDWCUJBnBYXk2y7foo5QUcrvMQfk;3GTdNdhmRMzmDRyXnHJ6gKbgPHea1yDJjd;3N6Fr7dtP2hdj2JyXDznPvXWUAJ6TCzhFH,0.00108302,22.94,0.0,0.0
2023-01-17,5e17ea0d425a08282182742685076ed85a4317a15ef963772835686139cc480b,in,bc1qt83jv868xszemv96r2pm4ccjuyktl5tnqun523,0.00094256,19.97,0.0,0.0
2023-01-17,6186a619a15d0be77734106a030d7e5141e9eb2980b0fd87b6c57a20b22171e8,in,1GrwDkr33gT6LuumniYjKEGjTLhsL5kmqC,0.0051,108.05,0.0,0.0
2023-01-17,665cae481aee8348f425c52b234e2d6a4ef20573869be5e8fe22386250f742dd,in,3PeXq1DHCw5EK1YoXTyEVEKh7G9immXBEs,0.00108719,23.03,0.0,0.0
2023-01-17,69e72bc87b0cd6354f5445b718cf7302edae7cb6cb8eefabcbbb05104ac4728a,in,bc1q2qmnqx8m53em8uqj5c9jnxq6c3eu5rq22zve0l,0.0010229,21.67,0.0,0.0
2023-01-17,76f1dd3801a621f0c4022c336e4ea203e521afff9d2785cb9c97b7c475632f4b,in,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,0.01266674,268.35,0.0,0.0
2023-01-17,7a4b958f6886571b098934ca45edd07aef66a600d197cc734ae4acca79834339,in,bc1q2qmnqx8m53em8uqj5c9jnxq6c3eu5rq22zve0l,0.00153436,32.51,0.0,0.0
2023-01-17,7d82d04c51ac7fa5c562d28a3da8f920ede06270a4a493e08f07d2dfa25d7e07,in,bc1qck6y0jaj9ddl4p0ujeygyja3p9gz2sdxa2kg70;bc1quwmtqf9sxmqlqywzxslkgwgyfngjgxx6rup0k5,0.004718,99.95,0.0,0.0
2023-01-17,852f1c6012fdaa6c3ff887601fecaea2de2e2c19d6f339e54e125cf5d59b1864,in,bc1qrygn9zka3jggr0y9d3pn44ptwpym98lyzspywu,0.00099246,21.03,0.0,0.0
2023-01-17,8b281d016ad904440af182af2d7ea18aca7c6d82b0228b165b42ea308114cfca,in,bc1q3dupa6u5853f7nce6ews7mkyl2dl7luaj032e4;bc1qvy4xuzjje6l74x9jxdhv9tqlwzucha5sc3srd9,0.00156513,33.16,0.0,0.0
2023-01-17,8d509bd9c507f22a0e7c44d5972cd510f2c0672e82c3026f564efa6b46d88cff,in,bc1qj9ktj8jgdcf3e7fh00pe26r4yxptsa42z5jga5;bc1qwcgdstu2nc9ax92g2ahmpfzcvzykfagwvky6es,0.00141529,29.98,0.0,0.0
2023-01-17,9562b97967e9b832d83e212df9bf52f8bf559f15eb3252048ebfe9114e375f64,in,bc1qjkcqqm98g6eek0xa22rade8wuzk9tnsdvh42nk,0.00131771,27.92,0.0,0.0
2023-01-17,95b1e900bf6743d6dbe0f8958ae96a1ee1a80e583cc893d9758447a45a496e1f,in,bc1qu783u5a5e8cvr238mmtxd2dwwhzhljepv4apkg,0.00061184,12.96,0.0,0.0
2023-01-17,98820061162d1721306498dbe5e61a80556077dfcee26450682654d586ba0cb4,in,bc1q48t4ffnnzln9kx9j939athcmyckxtlwkvrgqej,0.0009519,20.17,0.0,0.0
2023-01-17,98b71173d9d6fce613008a094c51b1f3d3bbca3cdb4e78c3de4a62f7e4691052,in,3Lw24ZhxyUie9rc3KhjYXK94obj2QaBjNc,0.00404858,85.77,0.0,0.0
2023-01-17,a23b0f12828319b11468a1a872926c1ab74c21494c56800ed578b392f04a33a6,in,3DD13ytLjWH8tiYQSeoYByj9jRDtzAFoB2,0.00745398,157.92,0.0,0.0
2023-01-17,a4995ff764af195c8d62b9583ff5ee8c6fe6bad265dc3c3fcdaa0ff373608d86,in,bc1qhndamantrfxmtq4qrjkav54sfyntjqsnv56wj7,0.0009392,19.9,0.0,0.0
2023-01-17,a55508c17aa1be34f531bfab036e438c86e74fe42834bb02cbd92120d5811b06,in,bc1qj5kdrknhl9k2hd8rj23uraysyn86wzummx4uxx,0.00094141,19.94,0.0,0.0
2023-01-17,a56f015ea1e48a0678bfd044b783d08d23a32bda94e0bf7a1875d37e7ff330dc,in,bc1qvtqez5kz88epewz97ks9dl5k99npt2ksfjgvdm,0.0042552,90.15,0.0,0.0
2023-01-17,a608a052529246b7c26d70abafe79681fe4d6efeeeac4b53d8488028cbdacd2b,in,1PMWCyK2WNvVL8sWyThQqk8NYrMWTZyYFM,0.00190006,40.25,0.0,0.0
2023-01-17,a6783407c7cfabf032056760e086e89f8910218957da5700dfc849a9602ae527,in,bc1q9f7tatykppxmsly2q2cq8rqthpswwf7lvj8l64;bc1qd3gm7gsumagzd4hrs4q6m7k8qvrj2dndk3dunz,0.0009418,19.95,0.0,0.0
2023-01-17,af73197fe367a122c3c4007c33b9aa90ca49cccbc4a5b70760ec2e71be8b1747,in,bc1q9h555uhu4r7cvrlxvap3r3kraxw8vawsa06rqf,0.00288192,61.06,0.0,0.0
2023-01-17,b8939aa86386bad61c4b7f97cee25a8b2e02e92e467cbfe3817a1da014013203,in,1E3pscdVueMJYa1JguegnKvM2HgSWfxMCB,0.00374256,79.29,0.0,0.0
2023-01-17,bf97527dd86083b1c9ac3508b097fb8bc671506245e49859d5e43f622d768de4,in,bc1qleyh4vmzqsmelkkxhyrp7u7dq7lvwms82xnwm6,0.00094569,20.04,0.0,0.0
2023-01-17,cb2e6c8581d63469fca0f01118e889d8fc4474cceb54596ecf5dfac317d2648c,in,bc1qns9f7yfx3ry9lj6yz7c9er0vwa0ye2eklpzqfw,0.00083373,17.66,0.0,0.0
2023-01-17,ccb9fc6e1b01263eec6b2a1ddfb35c42e84ec3a9152bc139c374bea850a5a815,in,1EJtuXTraP1kFahwG3aZgJHfwLgEoSFvFi,0.00067904,14.39,0.0,0.0
2023-01-17,d8e2f0335b078e303e72705a0f25e2f888c8f67d33c1f4e9e26ef031afba5d35,in,bc1qwc6r535m3qsrl666vs566lap43384n40dj8mt6,0.009482,200.88,0.0,0.0
2023-01-17,ec247c9d70ee220e9302736dfa47764a15df512eb674691740987324f3c43b66,in,bc1qyl76c3fdcqn9vwngwxhjjnp0t93mz4w9h4qg35,0.00051805,10.98,0.0,0.0
2023-01-18,054a6a7f593369d6ea818ac5d73d7ed24acf1cbe20508cd95000607cd4b551e1,in,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,0.00524,110.73,0.0,0.0
2023-01-18,0fd2a9864ee842d2c85029733ea75747ddfb60af94ca49c53fc1ffa2ea62cd4a,in,bc1qlztlwh2vye0w3trjs4gmjgwjmgj973ksq05p4c,0.00150656,31.84,0.0,0.0
2023-01-18,10a0fcdd5511a5ba6c2f0be75c1b4fd19d2156539cb3ac6a5eb5e1d22ab1dc9d,in,bc1qz58u77rcwa892epus82zl7mg5p2rv60uawycju,0.00110002,23.25,0.0,0.0
2023-01-18,116fa5d351449e21d0e071d752f74248f70339077d7f86fcb0aea07d9f5d1477,in,bc1qx0rvqachvnmglc2cj93tt3uw0lud78se6283d8,0.00014319,3.03,0.0,0.0
2023-01-18,171235d751469c9445a4d6a0e01a5d68fca6ed34f6ad2aada7c54617f7424aa1,in,1LQWftjvCkKYQL31urfLY6Z9sVvyW19sGS,0.0005245,11.08,0.0,0.0
2023-01-18,1b0bfb2a8a21499e3ca855b3f8f0dcbe8a7298313f8c2497b572c1a778723464,in,1BrasiLb2KMbdtuhb1chAVnS2FvcNGfV9J,0.00018927,4.0,0.0,0.0
2023-01-18,1e89a95929c008c06f80130dea08335c2f5ab3a26dc3008b3f8856d2f5120ae5,in,bc1qmc2km6zv0fehxnvfjd2yl2jvfkq5sxah9c995s,0.004698,99.28,0.0,0.0
2023-01-18,25f27ffbe0cb2d6b39756967d1568e17010569b6830bb083848cd68c5a7eb3da,in,1Lkg1xPFGWcDf7rguUFVpQqEjzKtxfHi2V;bc1qyl8gtn904yhrcvqyf7rfa29sdlcl5mcu987mk5,0.00188041,39.74,0.0,0.0
2023-01-18,275f7fb76fa498d7ad90637cf2015335bbcb1ff1d95b3fcfe9715abaded078f0,in,bc1qszwlesj59tmtn22n7qe69mcrselqrymkps0vdx,0.00132846,28.07,0.0,0.0
2023-01-18,300abe3b33c96bba98601e10335b2bf7a9d65eef54d69e44cf4b22bf378e9b93,in,bc1q8e4dap0256u2nccmp8cr5el0p465cua23f9eqa,0.0014127,29.85,0.0,0.0
2023-01-18,397c959990d6fbbccc2639ffa2a9767d524f3258ba66efb71e91f18117cdfef3,in,3JgfqZmwGFseH7hpkmrejyoryUkXaXriyE,0.00287998,60.86,0.0,0.0
2023-01-18,3c139dd16a3ce2c551fa6d95fa4d95b194916441797fda64c38b00413104cd0b,in,bc1q7yv96e7ssmze08vclpvml2p806hysg70lmqll0;bc1qytp5ux4r6hl6lvlw849xq09ectfn4hz6vn93sa,0.00035748,7.55,0.0,0.0
2023-01-18,3fc8a23c87fbac85e81d985b57b93a8b20f730ac534eb172e1fab88a41fcd2c8,in,bc1q68qpjjgcr9wt3d4k2sxz8hm585vqzjlds7n6ax;bc1qpl886de9xukr9d4gsza2w87pjj4kyl937z403m,0.00096462,20.38,0.0,0.0
2023-01-18,4c92a9c1a43f03f7059308b026aa1d8fa6a9480af6ee56927576cf36fc64a88b,in,342SUqgeLYkbMtUiqhuL6JehgJfpS9zjNh,0.00106569,22.52,0.0,0.0
2023-01-18,4db085daa650aa9d9bfce076b18ff07505519d33fbb5ddab83ab914e9eeb6dec,in,bc1qw4vmqfmyvaecy2t078csmmvuzp8jq6q5afs88v,0.00098448,20.8,0.0,0.0
2023-01-18,5ba10c85a26b79bd20279bbc358665a2da76f8d633925e4a2b3398725406d522,in,bc1q898dcewxaym2af804rzpw7asgtfgrxej9xdv2y,0.00203665,43.04,0.0,0.0
2023-01-18,5f5b87f9b50d19df2ef3b1b45d88f08e64159796cb47e9578b30cd6683a8a8cd,in,bc1qd0s67va8wzv22hhue2hft2jprudw8y3ma6lxew,0.00226995,47.97,0.0,0.0
2023-01-18,6a585ff087b50dbebdb2180a6e89b9f0331987b9f837c4ec0556632df7ed2def,in,bc1qvhfphuq42rurnfnlgxhmnm72d0jr2dp74kr3rs,0.00405896,85.78,0.0,0.0
2023-01-18,7c769db16a1a1b6666599aa79e6562d37df386e000af0268c659817b0c82f740,in,bc1qy7xwn2eeyjkt0z94nuagw6pka94ceav0c2r7fh,0.00164475,34.76,0.0,0.0
