address,total_in,total_in_usd,total_out,total_out_usd
LTrTVx64YPtewjhYjV7QigQiJZMJ1m9Hks,58.90507413,5867.63,58.90507413,5871.95
LZoMvCSbJctPpA6GMHZUWMqqb3CGrkYi3A,41.53679149,3843.97,41.53679149,3811.76
LZoiHaQoKaRND72yMyZqfowPuZSz4882bt,29.62685608,3445.4,29.62685608,3447.7
LWZq8fENz283Kdh5SBS5hFxtLgwDXbh5yK,34.33518036,3218.9,34.33518036,3216.75
Lb7CBG1UGZV4qzAF2u6zxjF9ZSPRdDQWY7,22.1116858,2388.27,22.1116858,2399.53
LKzFttDx7psDyQBXGeTG3V4oPXTbipNadi,20.84938614,2396.24,20.24938614,2332.56
Li3fyzv6txogD4AKDm5euh3JgDJDWPLDTK,22.51872341,2333.19,22.51872341,2328.93
LKWf2Y6PjeWLeQzMzRUkfJBycZXAYoPNRk,24.472,2344.14,24.472,2307.09
LfqueqxZF4gvxmNWecbKKMFnpGwwisSVxa,23.31325432,2332.59,22.75159032,2262.84
LdxaiqkfGPfUfgUsR8Jsp3vz1uNd1qZ1QG,20.02023783,2175.94,20.02023783,2165.11
Lbn96tE7qPKYPpTWv9bmWXvYWpYk8uRaUd,23.09257719,2031.89,23.09257719,2035.54
Lew8kxBdBgvDcXXPNawL2Jx4E8s1vkwrn6,17.63609284,2017.17,17.63609284,1995.2
LPFwC7JeCgsd7KH9rkGriw3gmLdHvFeEsZ,19.21880282,1967.91,18.78310081,1914.01
LTXijRMtR44wNnpFJregb8pc5DuxADkJN6,20.28497328,1908.26,20.28497328,1889.6
LLve5y9a6jLQD9rRowh1sv9cLycXiPuvXL,13.8219423,1633.52,13.8219423,1625.1
LiJ2kcrEjuxD4hyx3HmHue7twQBJZ981qb,12.07521909,1546.15,12.07521909,1508.21
LhHf3mUXYabD6ZR6kwyLDUav2GWcDDmF5d,14.93191954,1492.34,14.63191954,1487.98
LgBHVxPe45xHtWFjcCZqAPqjGVmmBC8HiM,11.94552631,1322.2,11.94552631,1369.8
LbS9UhTjtXtrs8wkZLPXWrweJRwPDhuAcH,12.182227,1311.24,12.182227,1312.92
LSDD1vNznb59QfjbBwBN8TDD8mXLSpX4WH,13.33703824,1248.74,13.33703824,1259.57
Lb9jHCiL621tRb33w6i2bGaWp474TBGo1V,12.26611858,1290.49,11.77098761,1233.59
LYEEj91eDMBUsovsWScNiUJaqApnwYFwej,11.19962554,1177.14,11.19962554,1185.86
LZWrZGhDTVff17uXZaz1j7iTG4DoHiZHeX,10.49522739,1186.01,10.30157558,1166.74
LQkwu9LSA9Lh7Zmvq2co4n3xhccTiNoG5B,11.0288125,1129.6,11.0288125,1150.77
LaUvefUPwYu6b7rtVt8CcmY8vwGDUjNowM,10.95967257,1123.5,10.95967257,1110.93
LSUPCBmJzQ5ngWW9oYM5grFhzoVAUf2NEc,11.2102,1083.12,11.2102,1093.48
LQ5UGDj3HchRtQg3jxwPXEpHCwAUdFYhMv,11.100251,1075.43,11.100251,1086.99
LNdo1TGFofM57MGgnqAno2UWHxwEQAQGxT,12.61726454,1079.06,12.61726454,1082.25
LQjE5z23K5JmxXbBd4RmGBidsY1GrkN1XQ,9.25970912,1023.09,9.25970912,1034.82
LbaYnpgoQ1W4xUTQSZm1cX2LdbLmZ9g7Sm,9.29840931,1021.22,9.29840931,1024.83
LNR5Vithnv7wCUkBGp8F5ksMXnuaDfkr6b,10.1430789,1030.86,10.1430789,1024.49
LW8Ps3Bdc9s2R3BNKnaEDy4ppsHwXkoT9E,8.78181053,988.38,8.78181053,991.47
LbEFctXGAW3hBmmAGYCpi29Ai9xC8eCS5S,11.1015,964.33,11.1015,966.81
Le827ARijnGSxkEDwrKmxEKN3AftSuwoZ7,9.7635857,926.95,9.7635857,937.36
LgD15xApfkiDDXdYCXTVCc8oX2VAQY2mKJ,9.07186441,923.21,9.07186441,906.6
LfSDcEgCcDsnxmtavoQ9YqnGpRzfN6wbmU,9.42526821,895.14,9.42526821,895.96
LdzEiukahshPjo6BUpuQDD4t77VqH69zvK,8.71226457,888.43,8.71226457,888.38
LSqgViyRicq4dsoaSPC6JPxusbvVgByE6E,9.09385288,859.31,9.09385288,857.77
LVhXRLJ6iV9hS6PNqJjGx1roWddf4c3huT,8.0950071,860.22,8.0950071,856.21
LPizfVbYi3TPHmVL8D9EtDkaJ3vGorEFGZ,7.48988556,834.52,7.48988556,835.9
LXTDR3cXpfQr4Xf5MWtQ1WnAu1gRtVUmyH,7.48,768.39,7.48,789.83
LSge712NoQfPksrSNi5BGjz356u4JJTtyk,6.85857084,777.01,6.85857084,775.35
LRCJm1UthAjQkFQiCZWTChRQ7hFkJADpEN,8.25603274,761.59,8.25603274,759.48
LWSGwjgPeKGNagDuLHHMkfgtHjhKfbmQhi,7.31805009,745.29,7.31805009,749.37
LNkz9YQ3KrAWfhUYoBjL5FJZzMJJ34gpxx,8.12097,740.12,8.12097,738.45
LWiQMvhXZwmDi1w79G8TCPnYVjwDLnZRRr,7.3200226,709.46,7.3200226,708.66
LX7saq7bsEH1AaWx8n4gozpUBCxSgR7MnU,6.96755026,699.84,6.96755026,697.23
LdfGxZL4rJXCbMp3BKSWuTe3HLtTdqruhn,6.1088727,718.46,5.8998727,695.66
LhkyQ9ouQdqhgm3mUF4iEWamyC9ChRbxLQ,6.71887802,683.72,6.71887802,692.34
LhwUriQmLE5kpzMLisjE6eW9kaXurUTb4K,7.29811686,684.17,7.29811686,685.49
Lfvnrnrcea8kKuBBWSiJNdaDCP6PeDF1b3,6.52744215,661.04,6.52744215,677.49
LT3y1VBdmrx4pkDNYN8fGZv8yBxh4W1PSc,6.95900914,672.41,6.95900914,675.81
LWXH4tiif6uUcB3TVZoq3WH4ARXMGE1LCc,5.89733969,640.51,5.89733969,670.54
LaKrrHQUpJGhNuTQbDZuiGrfiZP7UvCYXk,6.01751542,636.07,6.01751542,632.24
LS3MceYiyum2nznN8xZnzeVUEpLwpzXsjF,5.66419826,591.17,5.66419826,604.4
LKGVXNRG1ofRe9yBVi3y9S8SE3VRDDVhdN,4.91693949,596.43,4.91693949,603.65
LN5ECmM8yeYtn2sLgimPwMX71p6KFJndez,6.77423,587.62,6.77423,585.3
LMPjcS9eTka8nXT8aHoZVyPkazaW4fhee8,6.78318336,585.8,6.78318336,583.99
LhKsHF6XWpGiYeKc2ApH9RL2E1PdFEAzrf,7.05637157,660.7,6.39361217,583.31
LTotBt7ESk576mkJpPyiJPhc9i9kqUT5nt,6.65027332,578.75,6.65027332,580.25
LSj9Bj6biE9kjzVoC9vGAKW1w5jaspCQgK,4.97080871,566.46,4.97080871,574.37
LZ5mmZYhKSeVMaiU55qJtcfQxEDcCCew7b,5.08367996,576.61,5.08367996,570.79
LMV59YYw8hzEoYQh4u2d1yh6rrpn3v8sbw,5.50762092,624.38,4.90772092,557.63
LafbxBs5T9D6itJs79D1e6SnpsMgqvtQD7,5.54835925,538.44,5.54835925,546.12
LdwyoEgDc74DRAqE2Hg54ANX79gvkvD57D,6.17827694,538.63,6.17827694,545.76
LTSfdFV5NH9xapvn6sdPbgSffGu84zzHRq,4.41967795,525.56,4.41967795,535.84
LTedXJAG5ujKYQbQYMZ8H1VRwe7w9T4QsL,5.07035728,537.81,4.89920793,522.09
LXJGcoT6xdqWSyrXCxLFPRxEyWzAhn3J2G,5.8900956,517.89,5.8900956,519.55
LcBEgQgWLwBZLpkD5F6wvCnuJ84i124f2U,6.0472,612.27,5.208,511.27
LVGNLBHrN8KnhN7LrKCev4519sYUAEJ2s6,4.514,510.7,4.514,510.99
LQPUpufo6KzwaHuKrYU7Pd2zkMZYKTJiii,5.5,508.01,5.5,510.07
LZuy38AJMNn3BzsgQVX4XdHskfksirUcGF,5.19248862,503.25,5.19248862,505.68
LfSzbdjL8iVPdTuJeX8MbHF7GY7Xkc5PPw,5.05775863,541.6,4.63720779,496.54
LhizgGe77zCvfif6uDMuFH9aTJ7RaNr7Ua,4.94704243,492.54,4.94704243,491.33
LhV4SRPJ3cZdygrPgzrV6hyAbg7XjALdVY,4.23648263,483.02,4.23648263,486.17
Lh9bJ3KugognPEfEvjHTvrSz9P3EuXuGz6,5.43304318,477.2,5.43304318,479.58
LhA7cEvdCTg4Me2pB4xKPuQnfEnW5TGpNq,5.06259499,467.18,5.06259499,467.45
LTDSvjcq7Fz7n3nVU973DHdkgYVmrf5DnK,3.97624576,452.49,3.97624576,465.31
LN4JbBeCRCvXie7FR2QXaBhbcjWmqtbsHd,5.00788229,582.38,4.01617529,462.48
LhQXDP9tucjxuw4mvVT26pFRF7o1WtQB3H,5.15163185,455.13,5.15163185,453.76
LbnprNJZK84LegEQLcSWfY7HsPoJWN9Hh7,5.1547614,454.33,5.1547614,450.32
LNy5YvYzkZHTJ4kb6SkYUL8FhWdaoZHRu8,4.69009977,448.74,4.69009977,444.29
Lhks3A9MJYT14wmkTKX9HfwfRExqPx7UMt,4.50097485,445.79,4.50097485,441.05
LPANqi4XFYeeqcCb2Y8ezWpaA2ptSsACaR,3.93508147,445.53,3.93508147,440.51
LdoPL9cLkaJ8RNuNWVB9sgZSL1evJKz7BT,4.73432233,442.92,4.73432233,438.67
LcXxegLGVcJMDHkaGdoW1421X4RXBj7t9T,4.234,449.83,4.234,436.65
LKjtRD7UeZCcYhXx9SxbNboCTMFWJW39fp,4.48857577,432.26,4.48857577,435.03
La6pd3Y4jB3sTD5DxBu2eD3FEPW8eLsayj,4.82265703,436.21,4.82265703,433.96
LcDnR9MySJAHy1iM518MBhoLezMrKGrk97,4.43365931,433.28,4.43365931,431.87
LhRoW2yuiX9fsSRYB1WhE9PW2UXkmjqr3L,4.86399343,443.99,4.86399343,428.44
LguCLDzdEyKbCcYwFVuoe6kbUKyjzUoiPW,3.51465679,421.4,3.51465679,419.28
LcCcQadq7VXxYdpSvq2e5MeZ8N2fVJnvab,4.10366816,411.2,4.10366816,418.44
LNrGwyY3138XYAkDAGAemBXZs9z3aKqdhi,3.76597373,407.77,3.76597373,416.81
LaPxbTPmair3z1rA4fgqxjNjKDZuHKFEFy,4.60657573,428.37,4.44047968,412.22
LRtFrAB2Evdh2vdyNikw34SuhjtUo7ZKwT,4.022037,411.03,4.022037,411.01
LgFdiBTfZTu8zogkbHB2ZeayuG7hVbWVXL,4.57556203,412.55,4.57556203,410.78
LXJw4E5LwxvTiqLRdFsiV6nXc25rQ19QbB,4.3402081,398.51,4.3402081,397.58
LLBjxXY2zNZq4xx4NvvryabKQEXj7EDb3Q,3.8869622,390.57,3.8869622,395.77
LLtmfsT4Yhi87KjX5XT6DmTLvPBzGciLQz,4.05580727,428.12,3.71967779,394.03
LY2vGYD1BQRhLWuZ8GQXZGu5tNwqDEqgXv,4.48027126,395.44,4.48027126,392.81
