date,txid,direction,counterparty,amount_ltc,amount_usd,fee_ltc,fee_usd
2023-11-12,01650044a477f37c70a620eacd262e040765a9d86d768664d907c21098bc9dac,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.58841,44.28,0.0,0.0
2023-11-12,07f8bcc9b82805826eec897229e940b8c9af86ad13e3eeae9f825af48a62723e,in,ltc1qcve3qqxqq5mc2s0uypexhx5xcwv8uvyjt8e4u2,0.37139334,27.95,0.0,0.0
2023-11-12,092cea2f37a22593915a1428adef1416fe65ba44b66b711509ca0335683f806d,in,ltc1qswm32z6ux0kqumv8rjvvzejflllgrznyprfuvg,0.77628252,58.42,0.0,0.0
2023-11-12,0b8a5da024a2f7e0ffd424b60d793d805062741c9da9c3fb4f9f2ad844fc7085,in,M968Vuy2yTfPR1cHmzfsRAXxTvHtoYmbhE;MCE3Kz3AdaV9sXpcf12nhZkFQLt16oxDFJ;MPw9hcat2fyUNuidX51f1pmh2PXwg11g7x,0.52988849,39.88,0.0,0.0
2023-11-12,146f91417e53f5202400a09f8d9c33647eb9f2feb4f2de4d2202dac47394047e,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.4985,37.52,0.0,0.0
2023-11-12,47313a4a0d319a5693bfd43708cb934a8564f4ee5464ca448ba48978e4d9d67e,in,ltc1qenu6xsf42nxwrjgt0ud0zex6wpzkfntgy4yg4m,0.52176749,39.27,0.0,0.0
2023-11-12,4e38784d646ba59b6c85234c4135ce6c7250ae70c9177dc0d1175dcd7e40c9de,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,1.0928595,82.25,0.0,0.0
2023-11-12,6f0963a6e2690433171f1947dc76f39de1015a7f46d9c42e233ab21a7d6f8125,in,ltc1q3mu8ksexd4t4qpt7w6zpe9asnt2l4qmhdrxh04,0.06338372,4.77,0.0,0.0
2023-11-12,746a93047535d22a2de99489db65fbbe5d2871dda556e439e9959dfacc03a6bd,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,1.12124802,84.39,0.0,0.0
2023-11-12,76a3c2a89a2aba40d43c6d595b30cd4704d2c7bead4973f3ec790dc2fca73ee0,in,LcQ2StLnqZj9DstXodWhowvVt2Pgb8qeAR,0.13209409,9.94,0.0,0.0
2023-11-12,8590fc473709d0dd74b9701f6f802183a2d2737734cebf12d06a60ffaead39ad,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,1.83768387,138.3,0.0,0.0
