date,txid,direction,counterparty,amount_ltc,amount_usd,fee_ltc,fee_usd
2023-11-10,3baceec3eb3e9eb663ffbc1459a20a29377222e6f0bd82f271081807cadd5f74,in,ltc1qsv6tfrs4ejf6gfac375djwq9jhq6yq0jpa0paf,0.40150881,29.65,0.0,0.0
2023-11-10,422add1dc0ae724c80b11454b8966f381ce49ce3883ea2fa36bdafc5415038a2,in,LSJNDB4UdHDm6uyR9e3nb7YyxGGQtAE2BJ,1.04527878,77.19,0.0,0.0
2023-11-10,4786f5eaf6e745f5bf1866c77029572f73d0b6af8685084ae256ae95661b5aa2,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.52134609,38.5,0.0,0.0
2023-11-10,48108cbffa031b2ad119846bce40f06e5fc401284531bbc823020071361ef130,in,ltc1qcyvfdw3n82a85wrrr67nzgyjnel9j8rne2fu4d,0.1388696,10.26,0.0,0.0
2023-11-10,562a8e768f332d93cd608f4acf79947fbbe63874674f977c2c6f7107422afd9d,in,ltc1q43clhyrn67qdctprlxqu45yxryr7p47jmw8xtt,0.37919363,28.0,0.0,0.0
2023-11-10,9120130cb3eec3095518ae817ac7859a5037faaf8fd799d6001385e2ac17f4f7,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.136,10.04,0.0,0.0
2023-11-10,b4867efb52eafc838662ecbd87ed650e905ab71ab23f2e2f785eca49a73839f3,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.75312336,55.62,0.0,0.0
2023-11-10,c999f6c6c49028f06cac8b33bcd36e721b9153f55259b6f304c717ae08b0bdd4,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.42389751,31.3,0.0,0.0
2023-11-11,054ba107d9ef5707a6f7c8c7b348bc1b129d4b7e27e98ad4920c3f59e1c81d1c,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.99947851,73.23,0.0,0.0
2023-11-11,15cc0313f01e6403b7f4473d077d2ac7b34b4c73c549bff3c9f18cc06e3316ca,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.029,2.12,0.0,0.0
2023-11-11,1f0129940b8010b6acb45ef354eaf6b4453d3aac6184226d01e274574b8a3727,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.118,8.65,0.0,0.0
2023-11-11,220d83c1fd274b7df16c59242fe3a46808960fe60f84a6cfaf422ad15f132447,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.2033508,14.9,0.0,0.0
2023-11-11,2fa79140a236e2e0428c5bc604d3109c8c4a695bcfa97994399731cb4bc6612b,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.699,51.22,0.0,0.0
2023-11-11,3b56082cac6dcbb0e34df3371945e312f2d95a0528bf057287cdb2c8261a3a0a,in,LcEArtfF4HmDkCWEhyATDf8DTizHXzh2s3;LgK1ppSNtL7TY71TbaZav1tJnmeEE1USYW,0.08138088,5.96,0.0,0.0
2023-11-11,3d09e5f2463074fb1752b08d508b8c870fc981c0711155aa2fad5771a6440076,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.1185,8.68,0.0,0.0
2023-11-11,3d8c7b2b3cc5ea90bc0078db89b59338248447682c129e0e02a613b6238dd437,in,ltc1qly402awretgngwyhufx9v0n4dc2x25l02hz5mh,0.68711854,50.35,0.0,0.0
2023-11-11,4eab8da41bff8d56f7f4556e902694eed3543506fd9967a6c911bb81d6104353,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.59645642,43.7,0.0,0.0
2023-11-11,4ffa63abe02db455e3cfb4b5bf3b802292eaed444e94eb9f4fe99d41d777e0e0,in,LKvhoxRxbP4TAQSdXTmpqKQMq4TrYq1574,0.44052074,32.28,0.0,0.0
2023-11-11,5dbfa4445a6779714c89ee5879310bb70012c120c211e367fab8c084d07a80ba,in,ltc1qgfkmaq5h3dpjyr5ayz98yhxcustumcftz6am8g,0.69137168,50.66,0.0,0.0
2023-11-11,605658dd9727fb36a58d81c83669989c0b5e2617cef75ef16cd219ec59071e15,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.41317083,30.27,0.0,0.0
2023-11-11,67e6f1362aa6939a5c49791c69c263d4a72081b9d254e32a21b9346a5ab13542,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.2970731,21.77,0.0,0.0
2023-11-11,68df9254ee48329dc69754f4f0ba3820c7af4205afb14cf5926b42dd71ed5dd9,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.4623903,33.88,0.0,0.0
2023-11-11,6c793e0623302ec6c84b20f02ec93c36472ee03fce1190c64df56ebedaa17e4d,in,MGNdQa9vmQi3JmFjFBea45A7iUtH6grf1K,0.64467489,47.24,0.0,0.0
2023-11-11,766afc61b1e34ac4793761f9dfc3b36c2c2e51819aa69bfb95e8b52494e34dcc,in,LfWA3u2GbDPnm6yAGeQztHR5fSBLcYf9bV,0.20641255,15.12,0.0,0.0
2023-11-11,79aabd23fccdd55396f18cc43f84209a8e9102f0eca40d65713f0a7dfefe847d,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.4466081,32.72,0.0,0.0
2023-11-11,8312c7d2c89b55db990988a1083602cf24de46db735ad2b6f2b3cdad2bbe5f28,in,M8ZvZjB8FHxzzhdisSAdwPC1WK7Lpvbyj9;M95ZkWzFg9E7YWrdhMwcYb8CJxMCGxgr1w;MCsGHFAxPr1D4uJ2AhXZeFF2MYsJzFcHqs;MLUttnbvoEdhdcsfjqZzAfayJPgeVFcRMh;MRRxzV4Mi6cLg42HEQyAttBewLnUA42jJB,3.71006672,271.84,0.0,0.0
2023-11-11,88cceccfc425ea3044185ea5c3a5ee38ad0b3ffe5d47d79395ff079535d2dc6b,in,ltc1qg703mu5tfmewpqmdwv2ygrg0tr4l66zyzn2d7t,0.77209453,56.57,0.0,0.0
2023-11-11,89bab39ed38e933ba49875b687f47ee09f3aaf5cac6f3f7dd0f2de05add54aea,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,2.68684481,196.87,0.0,0.0
2023-11-11,93042790433f3815b5a1ec2f80ff7b6d77eb58b81b229afd16280091b93ac22e,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.69816867,51.15,0.0,0.0
2023-11-11,9c2fa751ccdc4edc410313626c910b88a34f43871dc74d0b5abad4dcd85d9b24,in,ltc1qttsjkc77j744lzczwufjjnckjuv9wqp2sff4fm,0.403386,29.56,0.0,0.0
2023-11-11,9cd95aaa51636b91766882d9a729f13add986a95d276c27c7deb01433b386738,in,ltc1qhjujmugmqfyky9ycasnz7h98kcqtssk0kajcmf,0.2745,20.11,0.0,0.0
2023-11-11,a552d3d88ce7dac881b5b47af0ac174052467a3523d1892e003032d7d3a5d77b,in,MNxBrpAUqDjeaDxa7WjXfNwLdoEXJGUnv7,0.49949389,36.6,0.0,0.0
2023-11-11,aeaefbab2b203c91473561b293da2ae26cd323b041ac5636b3e92b922f79d702,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,1.02951905,75.43,0.0,0.0
2023-11-11,aec13daf44afe841bcb7fa33b828835585941418c1bd58b0d48d2639720103de,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.20409457,14.95,0.0,0.0
